Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
03-May-2019,185.220000,-6.450000,-3.365159%,191.520000,183.380000,192.190000,"22,565,606","4,218,459,823.880300"
26-Apr-2019,191.670000,-27.210000,-12.431469%,217.300000,189.360000,219.750000,"24,151,683","4,793,021,514.504900"
19-Apr-2019,218.880000,+1.460000,+0.671511%,216.840000,214.900000,219.670000,"6,790,730","1,476,269,045.766800"
12-Apr-2019,217.420000,+2.010000,+0.933104%,214.710000,210.720000,217.490000,"7,098,929","1,517,767,587.699300"
05-Apr-2019,215.410000,+7.630000,+3.672153%,209.890000,209.255000,216.490000,"8,523,917","1,816,023,421.802300"
29-Mar-2019,207.780000,+3.120000,+1.524480%,203.460000,202.250000,209.495000,"10,449,180","2,157,812,437.910800"
22-Mar-2019,204.660000,-3.420000,-1.643599%,208.440000,204.470400,210.540000,"10,933,930","2,273,918,817.069000"
15-Mar-2019,208.080000,+7.190000,+3.579073%,201.880000,201.660000,208.660000,"12,725,186","2,633,827,449.561100"
08-Mar-2019,200.890000,-6.600000,-3.180876%,208.990000,198.000000,209.980000,"11,624,053","2,357,724,733.176000"
01-Mar-2019,207.490000,-1.860000,-0.888464%,210.470000,206.900000,211.590000,"9,271,619","1,938,133,208.300700"
22-Feb-2019,209.350000,+0.490000,+0.234607%,207.910000,207.150000,209.660000,"6,685,447","1,393,394,568.937200"
15-Feb-2019,208.860000,+9.040000,+4.524072%,200.930000,199.640000,210.400000,"11,333,893","2,336,323,108.703900"
08-Feb-2019,199.820000,+0.660000,+0.331392%,199.010000,196.250000,203.080000,"9,084,077","1,819,192,722.185100"
01-Feb-2019,199.160000,+3.260000,+1.664114%,193.140000,191.070000,201.770000,"15,213,979","3,003,871,692.856100"
25-Jan-2019,195.900000,+0.040000,+0.020423%,194.220000,190.275000,197.160000,"8,265,914","1,597,203,409.527700"
18-Jan-2019,195.860000,+3.650000,+1.898965%,190.640000,187.860000,196.400000,"11,869,395","2,269,449,335.447400"
11-Jan-2019,192.210000,+0.890000,+0.465189%,191.360000,188.660000,194.110000,"11,105,263","2,131,467,111.464900"
04-Jan-2019,191.320000,+1.950000,+1.029730%,190.340000,182.890000,191.980000,"10,633,104","2,003,284,324.448200"
28-Dec-2018,189.370000,+5.620000,+3.058503%,181.890000,176.870000,192.300000,"10,295,485","1,903,424,050.679600"
21-Dec-2018,183.750000,-12.350000,-6.297807%,195.840000,183.640000,198.245000,"18,759,123","3,563,938,483.405100"
14-Dec-2018,196.100000,-2.140000,-1.079500%,198.360000,193.640000,202.620000,"10,033,420","1,996,807,647.684000"
07-Dec-2018,198.240000,-9.680000,-4.655637%,211.210000,197.010000,211.950000,"10,438,400","2,122,805,400.978500"
30-Nov-2018,207.920000,+11.120000,+5.650407%,198.570000,196.779300,207.920000,"11,326,226","2,300,326,579.528500"
23-Nov-2018,196.800000,-12.200000,-5.837321%,207.830000,196.790000,208.050000,"8,730,345","1,766,154,662.220600"
16-Nov-2018,209.000000,+7.900000,+3.928394%,200.570000,196.240000,209.770000,"13,514,416","2,714,799,698.280900"
09-Nov-2018,201.100000,+8.290000,+4.299570%,193.500000,192.210000,204.269900,"12,194,941","2,419,666,126.982500"
02-Nov-2018,192.810000,+7.860000,+4.249797%,187.850000,183.160000,194.470000,"13,944,693","2,650,186,351.154900"
26-Oct-2018,184.950000,-14.900000,-7.455592%,201.250000,181.980000,203.400000,"23,603,827","4,469,213,815.856500"
19-Oct-2018,199.850000,+1.620000,+0.817233%,197.820000,197.418500,203.770000,"11,083,316","2,223,869,399.029600"
12-Oct-2018,198.230000,-14.960000,-7.017215%,213.130000,195.930000,214.580000,"14,434,734","2,949,829,848.129900"
05-Oct-2018,213.190000,+2.480000,+1.176973%,212.400000,211.060000,217.340000,"9,540,749","2,041,254,705.438500"
28-Sep-2018,210.710000,-5.620000,-2.597883%,215.390000,208.870000,215.865000,"9,923,267","2,099,338,788.200200"
21-Sep-2018,216.330000,+8.450000,+4.064845%,207.460000,207.300000,217.870000,"12,786,552","2,738,641,848.275100"
14-Sep-2018,207.880000,-4.690000,-2.206332%,213.680000,205.900000,216.370000,"13,197,076","2,770,148,951.988300"
07-Sep-2018,212.570000,+1.650000,+0.782287%,210.550000,207.351200,213.370000,"9,162,557","1,933,958,296.886500"
31-Aug-2018,210.920000,+5.630000,+2.742462%,206.180000,205.850000,211.720000,"10,208,434","2,141,650,778.200100"
24-Aug-2018,205.290000,+0.520000,+0.253943%,205.720000,201.461000,206.040000,"8,306,724","1,697,443,090.974500"
17-Aug-2018,204.770000,+2.810000,+1.391365%,202.020000,197.110000,204.990000,"8,574,393","1,727,561,397.319600"
10-Aug-2018,201.960000,-5.330000,-2.571277%,207.450000,201.000000,209.610000,"7,136,760","1,467,455,809.934100"
03-Aug-2018,207.290000,-0.130000,-0.062675%,208.250000,203.850000,212.780000,"10,680,984","2,224,965,578.036600"
27-Jul-2018,207.420000,+5.470000,+2.708591%,201.540000,190.570000,210.600000,"19,897,371","4,005,703,532.898500"
20-Jul-2018,201.950000,+0.770000,+0.382742%,201.550000,198.250000,203.170000,"10,285,943","2,074,343,285.000600"
13-Jul-2018,201.180000,+3.720000,+1.883926%,198.140000,197.401000,202.580000,"8,868,551","1,773,358,169.831900"
06-Jul-2018,197.460000,+0.740000,+0.376169%,195.460000,193.510000,198.950000,"6,688,260","1,314,487,428.224900"
29-Jun-2018,196.720000,+0.220000,+0.111959%,195.980000,193.640000,199.900000,"12,602,686","2,472,961,363.265600"
22-Jun-2018,196.500000,-8.470000,-4.132312%,202.530000,194.590000,204.570000,"13,656,460","2,715,591,252.806700"
15-Jun-2018,204.970000,-1.620000,-0.784162%,206.590000,200.110000,206.790000,"13,877,760","2,833,707,214.957200"
08-Jun-2018,206.590000,+7.000000,+3.507190%,200.730000,200.070000,206.750000,"11,401,573","2,317,257,620.763500"
01-Jun-2018,199.590000,+0.560000,+0.281365%,198.000000,195.100000,200.420000,"11,569,997","2,286,503,792.302300"
25-May-2018,199.030000,+0.070000,+0.035183%,200.500000,196.560000,202.927300,"10,919,616","2,177,585,913.397700"
18-May-2018,198.960000,-6.200000,-3.022032%,205.670000,198.450000,206.040000,"13,750,095","2,772,753,903.489800"
11-May-2018,205.160000,+5.800000,+2.909310%,200.060000,199.560000,205.680000,"15,354,757","3,114,317,049.745000"
04-May-2018,199.360000,+3.240000,+1.652050%,196.960000,191.440000,199.929900,"19,234,468","3,755,172,761.303000"
27-Apr-2018,196.120000,-21.630000,-9.933410%,218.020000,194.400000,218.730000,"27,876,561","5,591,929,256.904400"
20-Apr-2018,217.750000,+2.230000,+1.034707%,217.200000,216.590000,221.690000,"9,600,736","2,100,694,273.730300"
13-Apr-2018,215.520000,+3.270000,+1.540636%,213.750000,212.400000,218.710000,"11,210,528","2,420,366,243.408500"
06-Apr-2018,212.250000,-7.270000,-3.311771%,218.050000,209.468000,220.310000,"14,720,401","3,160,005,795.627700"
30-Mar-2018,219.520000,+4.160000,+1.931649%,217.860000,214.730000,221.860000,"11,436,552","2,498,245,295.953500"
23-Mar-2018,215.360000,-21.860000,-9.215075%,236.010000,215.270000,237.220000,"14,454,511","3,282,324,257.159700"
16-Mar-2018,237.220000,-4.130000,-1.711208%,242.100000,233.850000,243.099900,"13,029,393","3,093,700,939.644200"
09-Mar-2018,241.350000,+10.980000,+4.766246%,230.000000,228.530000,241.370000,"10,336,309","2,425,756,044.265400"
02-Mar-2018,230.370000,-6.650000,-2.805670%,239.010000,226.330000,244.860000,"13,726,477","3,246,265,424.813200"
23-Feb-2018,237.020000,+0.350000,+0.147885%,234.540000,232.100000,237.890000,"9,138,512","2,150,658,027.237000"
16-Feb-2018,236.670000,+11.460000,+5.088584%,227.490000,226.100000,238.435000,"12,500,961","2,897,376,654.810700"
09-Feb-2018,225.210000,-19.960000,-8.141290%,243.500000,218.180000,244.400000,"22,854,096","5,271,415,644.850100"
02-Feb-2018,245.170000,-13.460000,-5.204346%,258.510000,244.880000,259.340000,"14,446,489","3,619,626,014.665100"
26-Jan-2018,258.630000,+10.450000,+4.210654%,247.130000,245.080000,259.770000,"14,192,705","3,564,484,862.679000"
19-Jan-2018,248.180000,+3.710000,+1.517569%,245.300000,243.830000,249.000000,"9,177,103","2,263,210,011.535100"
12-Jan-2018,244.470000,+3.900000,+1.621150%,239.380000,239.180000,246.000000,"8,666,954","2,095,161,138.335800"
05-Jan-2018,240.570000,+5.200000,+2.209288%,235.780000,232.805000,240.900000,"9,203,674","2,177,871,051.206200"
29-Dec-2017,235.370000,+0.640000,+0.272654%,235.080000,234.840000,237.310000,"4,293,214","1,012,897,097.977500"
22-Dec-2017,234.730000,-3.270000,-1.373950%,238.580000,234.280000,240.010000,"9,250,018","2,191,278,194.919400"
15-Dec-2017,238.000000,-0.130000,-0.054592%,238.850000,236.120000,241.680000,"13,720,550","3,271,382,973.030500"
08-Dec-2017,238.130000,-3.020000,-1.252333%,243.050000,236.970000,244.230000,"9,303,898","2,228,049,543.881700"
01-Dec-2017,241.150000,+9.770000,+4.222491%,231.750000,231.130000,243.630000,"11,642,796","2,779,199,572.575200"
24-Nov-2017,231.380000,+2.020000,+0.880712%,229.900000,229.554300,235.710000,"5,853,525","1,362,609,457.152600"
17-Nov-2017,229.360000,+1.910000,+0.839745%,226.730000,226.040000,229.990000,"7,637,618","1,745,563,378.159600"
10-Nov-2017,227.450000,-4.770000,-2.054087%,232.220000,226.160000,232.630000,"7,270,363","1,667,057,850.110900"
03-Nov-2017,232.220000,-2.520000,-1.073528%,233.660000,229.110000,233.660000,"9,212,817","2,130,097,822.263400"
27-Oct-2017,234.740000,+13.420000,+6.063618%,221.760000,221.200000,238.900000,"18,169,588","4,248,630,950.078400"
20-Oct-2017,221.320000,+3.600000,+1.653500%,217.700000,216.470000,221.320000,"7,766,767","1,697,561,740.270000"
13-Oct-2017,217.720000,+1.200000,+0.554221%,215.960000,214.660000,219.760000,"7,648,510","1,657,885,135.601500"
06-Oct-2017,216.520000,+6.620000,+3.153883%,210.730000,210.030000,217.610000,"7,954,758","1,711,986,766.352400"
29-Sep-2017,209.900000,-0.860000,-0.408047%,210.980000,208.160000,212.830000,"8,423,979","1,768,468,981.813000"
22-Sep-2017,210.760000,-2.590000,-1.213968%,214.000000,208.310000,214.650000,"8,565,024","1,810,734,482.234400"
15-Sep-2017,213.350000,+7.660000,+3.724051%,206.460000,206.090000,214.115000,"9,998,505","2,109,577,455.396300"
08-Sep-2017,205.690000,+2.130000,+1.046375%,202.250000,200.510000,206.120000,"7,347,801","1,490,990,047.993400"
01-Sep-2017,203.560000,+1.430000,+0.707465%,202.780000,201.332200,204.910000,"6,343,145","1,289,705,053.095800"
25-Aug-2017,202.130000,-1.400000,-0.687859%,203.800000,201.960000,205.860000,"7,395,071","1,506,425,688.966100"
18-Aug-2017,203.530000,-2.450000,-1.189436%,206.660000,203.450000,208.630000,"7,252,344","1,496,550,468.076600"
